Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
26/10/2024,World news,Row erupts over plan to charge €5 to enter fire-hit Notre Dame,0.9955,Positive,https://www.theguardian.com/world/2024/oct/26/notre-dame-entrance-fee-france-catholic-church-opposed
26/10/2024,World news,Watershed moment as Georgia goes to polls in tussle between Russia and west,-0.9832,Negative,https://www.theguardian.com/world/2024/oct/25/georgia-election-russia-west-democracy
26/10/2024,World news,UK conference on reparations to open as debate dominates Commonwealth talks,-0.0258,Neutral,https://www.theguardian.com/world/2024/oct/26/second-uk-conference-on-reparations-to-open-in-london-on-sunday
26/10/2024,World news,‘If I had the power I’d destroy the whole thing’: what went wrong with the ghost town of Disney-style castles?,-0.6582,Negative,https://www.theguardian.com/world/2024/oct/26/what-went-wrong-with-ghost-town-disney-style-castles-turkey
26/10/2024,World news,‘Israel is trying to erase our presence’: Palestinians say ‘generals’ plan’ to clear north Gaza is under way,-0.9972,Negative,https://www.theguardian.com/world/2024/oct/26/israel-generals-plan-clear-north-gaza-palestinians
26/10/2024,World news,"Ukraine war briefing: Russia plans to send North Korean troops into battle as early as Sunday, Zelenskyy says",-0.9906,Negative,https://www.theguardian.com/world/2024/oct/26/ukraine-war-briefing-russia-plans-to-send-north-korean-troops-into-battle-as-early-as-sunday-zelenskiyy-says
26/10/2024,World news,"China building ‘counter-stealth’ radar on disputed South China Sea reef, satellite pictures suggest",-0.9551,Negative,https://www.theguardian.com/world/2024/oct/26/china-building-counter-stealth-radar-on-disputed-south-china-sea-reef-satellite-pictures-suggest
03/10/2024,World news,Israel orders evacuation of southern Lebanese city as Beirut strikes continue,-0.9988,Negative,https://www.theguardian.com/world/2024/oct/03/israel-orders-evacuation-of-southern-lebanese-city-nabatieh
03/10/2024,World news,Biden says US ‘discussing’ possible Israeli plans to attack Iran’s oil industry,-0.9977,Negative,https://www.theguardian.com/world/2024/oct/03/biden-says-us-discussing-possible-israeli-plans-to-attack-irans-oil-industry
03/10/2024,World news,What are the risks involved in Israeli options for retaliatory strikes on Iran?,-0.9986,Negative,https://www.theguardian.com/world/2024/oct/03/what-are-the-risks-involved-in-israeli-options-for-retaliatory-strikes-on-iran
03/10/2024,World news,Climate protest heroes are prisoners of conscience | Brief letters,0.9885,Positive,https://www.theguardian.com/world/2024/oct/03/climate-protest-heroes-are-prisoners-of-conscience
03/10/2024,World news,Britain to return Chagos Islands to Mauritius ending years of dispute,0.9852,Positive,https://www.theguardian.com/world/2024/oct/03/britain-to-return-chagos-islands-to-mauritius-ending-years-of-dispute
03/10/2024,World news,France’s 31-year treasure hunt for a buried owl statue finally ends,0.987,Positive,https://www.theguardian.com/world/2024/oct/03/france-treasure-hunt-buried-owl-statue-ends
03/10/2024,World news,Lebanese healthcare workers fearful as growing numbers killed in strikes,-0.9989,Negative,https://www.theguardian.com/world/2024/oct/03/lebanese-healthcare-workers-fearful-as-growing-numbers-killed-in-strikes
03/10/2024,World news,All-black airline crew to fly from UK to mark Black History Month,0.9809,Positive,https://www.theguardian.com/world/2024/oct/03/all-black-airline-crew-to-fly-from-uk-to-mark-black-history-month
03/10/2024,World news,Pro-choice Catholics protest at Vatican after abortion left off summit agenda,-0.3689,Negative,https://www.theguardian.com/world/2024/oct/03/pro-choice-catholics-stage-protest-after-abortion-left-off-summit-agenda
03/10/2024,World news,Jamaica welcomes US move to clamp down on gun trafficking to Caribbean,-0.9839,Negative,https://www.theguardian.com/world/2024/oct/03/jamaica-gun-trafficking-us-attorneys-general
03/10/2024,World news,Tanzania suspends news websites over ad referencing killings of dissidents,-0.998,Negative,https://www.theguardian.com/world/2024/oct/03/tanzania-citizen-newspaper-publisher-advert-killings-dissidents
03/10/2024,World news,A timeline of the UK’s history with the Chagos Islands,-0.3506,Negative,https://www.theguardian.com/world/2024/oct/03/timeline-uk-history-chagos-islands-mauritius
03/10/2024,World news,Chagos Islanders have fought a long and determined campaign for right to return,0.8191,Positive,https://www.theguardian.com/world/2024/oct/03/chagos-islanders-long-and-determined-campaign-for-right-to-return
03/10/2024,World news,How remigration became a buzzword for global far right,-0.9676,Negative,https://www.theguardian.com/world/2024/oct/03/how-remigration-became-a-buzzword-for-europes-far-right
03/10/2024,World news,‘It’s very powerful’: New Hampshire ruling protects trans kids from being outed,0.9768,Positive,https://www.theguardian.com/world/2024/oct/03/new-hampshire-trans-identities-outing
03/10/2024,World news,Israeli strikes kill nine in central Beirut as blasts heard across Lebanese capital,-0.9988,Negative,https://www.theguardian.com/world/2024/oct/03/israel-strikes-beirut-lebanon-death-toll-hezbollah-war
03/10/2024,World news,Dutch court fines man in first conviction under new sexual harassment law,-0.9903,Negative,https://www.theguardian.com/world/2024/oct/03/netherlands-dutch-court-rotterdam-man-fined-sexual-harassment-law
03/10/2024,World news,Quebec separatist leader holds Trudeau to ransom: ‘We saw an opportunity’,0.9966,Positive,https://www.theguardian.com/world/2024/oct/03/justin-trudeau-farmers-seniors-laws-avoid-non-confidence-vote
03/10/2024,World news,Russia’s exiled opposition rocked by claims over hammer attack on Navalny ally,-0.9984,Negative,https://www.theguardian.com/world/2024/oct/03/russia-exiled-opposition-hammer-attack-navalny-ally
03/10/2024,World news,"Typhoon Krathon hits Taiwan, killing two people and wreaking destruction",-0.9957,Negative,https://www.theguardian.com/world/2024/oct/03/typhoon-krathon-makes-landfall-in-taiwan
03/10/2024,World news,Christmas Caracas: early festivities are no joke as Maduro tightens grip,0.9774,Positive,https://www.theguardian.com/world/2024/oct/03/christmas-caracas-early-festivities-are-no-joke-as-maduro-tightens-grip
